"","x"
"1552813_at",7.81558084122814e-05
"1552814_a_at",0
"1552816_at",0
"1552818_a_at",0
"1552819_at",0
"1552822_at",0.00290717067967153
"1552825_at",0.0010196067737135
"1552826_at",0
"1552827_s_at",0.00253572767308364
"1552828_at",0
"1552829_at",0.163272074373263
"1552830_at",0
"1552833_at",0
"1552834_at",0.0505853239045185
"1552835_at",0
"1552836_at",0
"1552837_at",0
"1552839_at",7.401200924927e-06
"1552841_s_at",0
"1552842_at",0
"1552843_at",0
"1552845_at",0
"1552846_s_at",0
"1552848_a_at",0
"1552849_at",0
"1552851_at",0
"1552852_a_at",0
"1552853_at",0.00439762654447459
"1552854_a_at",0
"1552856_at",0.00648058552569302
"1552857_a_at",0.00121396021133547
"1552858_at",0
"1552860_at",0
"1552862_at",0.000453552782555002
"1552863_a_at",0.0402541870806163
"1552865_a_at",0
"1552867_at",0
"1552868_at",0.046758302907547
"1552870_s_at",0
"1552872_at",0.00109435359656032
"1552873_s_at",0.00436835672635385
"1552875_a_at",0.00456197698516719
"1552876_at",0
"1552877_s_at",0.033559570102259
"1552878_at",0
"1552879_a_at",0
"1552880_at",0
"1552882_a_at",0.0481823602728675
"1552884_at",0.0232661465432003
"1552885_a_at",0.0168468290032835
"1552887_at",0.0230431503735289
"1552889_a_at",0.246656340002876
"1552890_a_at",0.000201027487123109
"1552892_at",0.019308032164356
"1552893_at",0
"1552895_a_at",0.000180887092616397
"1552897_a_at",0
"1552898_a_at",0
"1552899_at",0.0106003120954203
"1552900_a_at",0.013020078534115
"1552902_a_at",0
"1552903_at",0.00400203101152712
"1552904_at",0.000843146507827046
"1552906_at",0
"1552908_at",0.000671468939229927
"1552910_at",0.000968917573240709
"1552911_at",0
"1552912_a_at",0.00765567209267242
"1552913_at",0
"1552914_a_at",0.100659563880146
"1552915_at",0
"1552917_at",0
"1552919_at",0
"1552921_a_at",0.000414841861817127
"1552922_at",0
"1552923_a_at",0.00264172410353349
"1552924_a_at",0
"1552925_at",0
"1552927_at",0.0107288620630924
"1552928_s_at",0.00996230737248662
"1552929_at",0
"1552930_at",0.104431383377448
"1552931_a_at",0.0478205019719651
"1552932_at",0
"1552933_at",0.00497630182796398
"1552935_at",0.00337270588428196
"1552937_s_at",0.0348544132087779
"1552938_at",0
"1552939_at",0
"1552940_at",0.000149378758677145
"1552942_at",0.0982420972296752
"1552943_at",0
"1552944_a_at",0.0390152850850755
"1552946_at",0
"1552947_x_at",0
"1552948_at",0.0229383911907019
"1552950_at",0.000903889526895667
"1552952_at",0.000191865508069623
"1552953_a_at",0.00403633475867579
"1552954_at",0
"1552955_at",0.00568666155730918
"1552957_at",0
"1552960_at",0
"1552961_at",0.00287910030636303
"1552964_at",0
"1552965_a_at",0.00178903564406305
"1552967_at",0.00433949765875325
"1552969_a_at",0.000401581659527022
"1552970_s_at",0
"1552971_at",0
"1552972_at",0
"1552973_at",0
"1552974_at",0
"1552975_x_at",0
"1552976_at",0.069148428471712
"1552977_a_at",0.364756561697428
"1552978_a_at",0.215036155316212
"1552979_at",0
"1552980_at",0.00370177075492015
"1552982_a_at",0
"1552985_at",0
"1552986_at",0.00471422033443198
"1552987_a_at",0
"1552988_at",0
"1552990_at",0
"1552991_at",0
"1552993_at",0.000268336945153921
"1552995_at",0
"1552997_a_at",0
"1552998_at",0
"1552999_a_at",0
"1553002_at",0.000625075773914366
"1553003_at",0
"1553004_at",1.69130260501311e-05
"1553006_at",0
"1553007_a_at",0
"1553009_s_at",0
"1553011_at",0.14817519682741
"1553013_at",0.000759416576434722
"1553015_a_at",0.0710128434350108
"1553016_at",0
"1553019_at",0
"1553020_at",0
"1553021_s_at",2.48591412951677e-05
"1553022_at",0
"1553023_a_at",0
"1553024_at",0
"1553025_at",0
"1553027_a_at",0
"1553028_at",0
"1553030_a_at",0.00973449221147319
"1553031_at",0
"1553032_at",0
"1553033_at",0
"1553034_at",0.0140050932377629
"1553036_at",3.76782999386247e-05
"1553037_a_at",0.00642127379091723
"1553039_a_at",0
"1553041_at",0
"1553042_a_at",0.0665187911743487
"1553043_a_at",0.428950699638887
"1553044_at",0.00188095720550352
"1553045_at",0.000351090879527788
"1553046_s_at",0.07568641479707
